name_a,name_b,score
salt,soy sauce,-0.0948
salt,vinegar,0.086
soy sauce,water,0.0682
vinegar,water,0.0861
cream,cream cheese,0.0028
cream,ham,-0.0048
cream,pastry,0.083
cream cheese,ham,0.0225
cream cheese,pastry,0.0244
ham,pastry,0.0176
bread,garlic,-0.0073
bread,pepper,-0.0024
bread,water,-0.035
bread,white bread,-0.0635
garlic,white bread,-0.0452
pepper,white bread,0.0173
water,white bread,-0.0392
chocolate,sugar,0.2287
butter,cocoa powder,0.1288
butter,peppermint,0.0443
chocolate,peppermint,0.2868
chocolate,salt,0.0024
cocoa powder,flour,0.2005
cocoa powder,peppermint,0.2463
cocoa powder,salt,0.0878
cocoa powder,sugar,0.2518
flour,peppermint,0.0462
peppermint,salt,-0.0188
peppermint,sugar,0.1187
bacon,bread,0.0524
bacon,cream cheese,0.0141
bacon,sour cream,0.0957
bread,cream cheese,0.0156
bread,sour cream,-0.1224
cream cheese,sour cream,0.1898
chili,coriander,0.2911
chili,molasses,0.0377
chili,pork,0.09
chili,sauce,0.1124
coriander,cumin,0.5091
coriander,molasses,-0.0176
coriander,pork,0.0682
coriander,salt,0.0957
coriander,sauce,-0.0793
coriander,water,0.0577
cumin,molasses,-0.0507
cumin,pork,0.0843
cumin,salt,0.1347
cumin,sauce,0.031
molasses,pork,0.0428
molasses,salt,0.0941
molasses,sauce,0.0496
molasses,water,0.0603
pork,sauce,0.1647
salt,sauce,-0.0335
sauce,water,-0.0367
butter,orange,-0.008
butter,vanilla,0.272
orange,sugar,0.1057
orange,vanilla,0.0414
cream,mint,-0.0318
cream,nuts,-0.0211
cream,olive oil,-0.0919
cream,salt,0.0186
mint,nuts,-0.0763
mint,olive oil,0.1028
mint,parsley,0.0833
mint,pepper,0.0285
mint,salt,-0.0061
nuts,olive oil,-0.1872
nuts,parsley,-0.2184
nuts,pepper,-0.2453
nuts,salt,0.0333
olive oil,parsley,0.2492
buttermilk,milk,-0.0395
basil,oyster,0.0312
basil,sesame oil,-0.109
basil,soy sauce,-0.0761
chicken,oyster,0.1196
chicken,sesame oil,0.1088
chicken,soy sauce,0.1624
garlic,oyster,0.1473
garlic,sesame oil,0.1422
onion,oyster,0.0494
onion,sesame oil,-0.0085
onion,soy sauce,0.0501
oyster,pepper,0.0373
oyster,sesame oil,0.3884
oyster,soy sauce,0.3394
pepper,sesame oil,0.0441
pepper,soy sauce,0.0551
bacon,onion,0.13
bacon,parsley,0.0678
bacon,pasta,0.0626
bacon,pepper,0.1073
onion,pasta,0.0881
olive oil,pasta,0.1867
olive oil,provolone cheese,0.0908
olive oil,sausage,0.058
pasta,provolone cheese,0.1017
pasta,salt,-0.019
pasta,sausage,0.2025
pasta,shallot,0.0631
pepper,provolone cheese,0.0593
pepper,sausage,0.0926
pepper,shallot,0.1544
provolone cheese,salt,-0.0668
provolone cheese,sausage,0.1117
provolone cheese,shallot,0.0205
salt,sausage,-0.0385
salt,shallot,0.0606
sausage,shallot,-0.0026
cauliflower,garlic,0.1054
cauliflower,olive oil,0.1026
cauliflower,pepper,0.1025
chicken,lemon,-0.0005
chicken,olive oil,0.1034
acorn,butter,0.0672
acorn,maple syrup,0.2609
acorn,pepper,0.0509
acorn,salt,0.0152
butter,maple syrup,0.0449
maple syrup,pepper,-0.0957
maple syrup,salt,0.0609
avocado,beans,0.208
avocado,cheese,0.0953
avocado,onion,0.0349
avocado,pepper,0.0726
avocado,taco,0.1414
avocado,tomato,0.0299
avocado,tortilla,0.2498
beans,cheese,0.1466
beans,onion,0.185
beans,pepper,0.0997
beans,sour cream,0.1574
beans,taco,0.3707
beans,tomato,0.1967
beans,tortilla,0.3169
cheese,onion,0.0689
cheese,sour cream,0.1467
cheese,taco,0.2503
cheese,tomato,0.0578
cheese,tortilla,0.2627
onion,sour cream,0.0455
onion,taco,0.0674
onion,tomato,0.2467
onion,tortilla,0.0544
pepper,sour cream,0.0212
pepper,taco,-0.0586
pepper,tomato,0.1538
pepper,tortilla,-0.0207
sour cream,taco,0.3123
sour cream,tomato,0.0238
sour cream,tortilla,0.2458
taco,tomato,0.1511
taco,tortilla,0.4053
tomato,tortilla,0.0903
beans,celery,0.1201
beans,chili,0.2998
beans,garlic,0.1638
beans,jalapeno,0.2426
beans,olive oil,0.1304
celery,chili,0.0443
celery,garlic,0.1488
celery,jalapeno,0.0346
celery,onion,0.2373
celery,tomato,0.1789
chili,jalapeno,0.1887
chili,olive oil,0.031
chili,tomato,0.2529
garlic,jalapeno,0.1461
garlic,tomato,0.2298
jalapeno,olive oil,0.0686
jalapeno,tomato,0.1142
olive oil,tomato,0.1352
buttermilk,cocoa powder,0.1833
buttermilk,coffee,0.0582
buttermilk,vanilla,0.203
buttermilk,vinegar,-0.0511
cocoa powder,coffee,0.3918
cocoa powder,vinegar,-0.0071
coffee,flour,0.0324
coffee,salt,-0.047
coffee,sugar,0.1398
coffee,vanilla,0.1809
coffee,vinegar,-0.0852
flour,vinegar,-0.1294
sugar,vinegar,0.093
vanilla,vinegar,-0.1699
egg,parsley,-0.0359
egg,pepper,-0.113
chili,oregano,0.2011
chili,sugar,-0.144
cumin,oregano,0.2838
cumin,sugar,-0.1997
cumin,tomato,0.2321
garlic,sugar,-0.2742
onion,sugar,-0.2648
oregano,sugar,-0.1585
oregano,tomato,0.3076
pepper,sugar,-0.3037
sugar,tomato,-0.1519
beef,celery,0.1375
beef,corn,0.0942
beef,flour,-0.053
beef,marjoram,0.1322
beef,parsley,0.0765
beef,salt,-0.0043
beef,tomato,0.3363
butter,marjoram,0.0099
butter,tomato,-0.1234
celery,corn,0.0807
celery,flour,-0.0616
celery,marjoram,0.1748
corn,marjoram,0.0524
corn,parsley,-0.0264
corn,tomato,0.108
corn,water,-0.0187
flour,marjoram,-0.0075
flour,tomato,-0.1169
marjoram,parsley,0.1833
marjoram,pepper,0.145
marjoram,salt,0.074
marjoram,tomato,0.1437
marjoram,water,0.0542
parsley,tomato,0.1282
salt,tomato,0.0341
tomato,water,0.0765
butter,sage,0.0696
chicken,sage,0.1357
sage,thyme,0.3037
brown sugar,flour,0.2281
brown sugar,salt,0.1001
brown sugar,shortening,0.1738
